Compound ID,ESOL predicted log solubility in mols per litre,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,measured log solubility in mols per litre,smiles,transformed_solubility,transformed_smiles
Amigdalin,-0.974,1,457.4320000000001,7,3,7,202.32,-0.77,OCC3OC(OCC2OC(OC(C#N)c1ccccc1)C(O)C(O)C2O)C(O)C(O)C3O ,63.450704225352105,BAAtBA{BAAsBA{BA{A^D}araaaaar}A{B}A{B}AsB}A{B}A{B}AtB 
Fenfuram,-2.885,1,201.225,1,2,2,42.24,-3.3,Cc1occc1C(=O)Nc2ccccc2,21.74757281553398,AarbaaarA{~B}Dasaaaaas
citral,-2.579,1,152.237,0,0,4,17.07,-2.06,CC(C)=CCCC(C)=CC(=O),5.501858736059477,AA{A}~AAAA{A}~AA{~B}
Picene,-6.617999999999999,2,278.354,0,5,0,0.0,-7.87,c1ccc2c(c1)ccc3c2ccc4c5ccccc5ccc43,50.73381294964029,araaasa{ar}aaatasaaauavaaaaavaaaut
Thiophene,-2.232,2,84.14299999999999,0,1,0,0.0,-1.33,c1ccsc1,19.070631970260223,araasar
benzothiazole,-2.733,2,135.191,0,2,0,12.89,-1.5,c2ccc1scnc1c2 ,15.91078066914498,asaaarsadaras 
"2,2,4,6,6'-PCB",-6.545,1,326.437,0,2,1,0.0,-7.32,Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl,52.31654676258992,Zaraa{Z}a{a{Z}ar}asa{Z}aaaasZ
Estradiol,-4.138,1,272.388,2,4,0,40.46,-5.03,CC12CCC3C(CCc4cc(O)ccc34)C2CCC1O,58.906474820143885,AArsAAAtA{AAauaa{B}aaatu}AsAAArB
Dieldrin,-4.533,1,380.913,0,5,0,12.53,-6.29,ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl,55.280575539568346,ZAu~A{Z}Av{Z}AtArAA{AsBArs}AtAu{Z}Av{Z}Z
Rotenone,-5.246,1,394.4230000000002,0,5,3,63.22,-4.42,COc5cc4OCC3Oc2c1CC(Oc1ccc2C(=O)C3c4cc5OC)C(C)=C ,83.5483870967742,ABavaauBAAtBasarAA{BaraaasA{~B}AtauaavBA}A{A}~A 
2-pyrrolidone,0.243,1,85.10600000000001,1,1,0,29.1,1.07,O=C1CCCN1,76.40845070422534,B~ArAAADr
2-Chloronapthalene,-4.063,1,162.61899999999997,0,2,0,0.0,-4.14,Clc1ccc2ccccc2c1,88.06451612903226,Zaraaasaaaaasar
1-Pentene ,-2.01,1,70.135,0,0,2,0.0,-2.68,CCCC=C,33.78640776699029,AAAA~A
Primidone,-1.897,1,218.256,2,2,2,58.2,-2.64,CCC1(C(=O)NCNC1=O)c2ccccc2,34.5631067961165,AAAr{A{~B}DADAr~B}asaaaaas
Tetradecane,-5.45,1,198.39399999999995,0,0,11,0.0,-7.96,CCCCCCCCCCCCCC,50.47482014388489,AAAAAAAAAAAAAA
2-Chloropropane,-1.585,1,78.542,0,0,0,0.0,-1.41,CC(C)Cl,17.58364312267658,AA{A}Z
2-Methylbutanol,-1.027,1,88.14999999999999,1,0,2,20.23,-0.47,CCC(C)CO,65.56338028169014,AAA{A}AB
Benzonitrile,-2.03,1,103.12399999999997,0,1,0,23.79,-1.0,N#Cc1ccccc1,61.83098591549297,D^Aaraaaaar
