dataset,config,n,r,ci_lo,ci_hi,ci_width
delaney,names_and_descriptors/with_preanalysis/google/gemini-2.5-flash/0/60,150,61.1,47.9,74.0,26.0
delaney,names_and_descriptors/with_preanalysis/google/gemini-2.5-flash/940/60,150,35.8,27.7,48.0,20.3
delaney,names_and_descriptors/with_preanalysis/gpt-4.1-mini_2024-12-01-preview/0/60,150,72.7,63.8,80.1,16.3
delaney,names_and_descriptors/with_preanalysis/gpt-4.1-mini_2024-12-01-preview/940/60,150,85.5,81.1,89.3,8.2
delaney,names_and_descriptors/with_preanalysis/gpt-5-mini_2024-12-01-preview/0/60,150,64.3,52.0,74.2,22.2
delaney,names_and_descriptors/with_preanalysis/gpt-5-mini_2024-12-01-preview/940/60,150,88.7,84.9,91.9,7.0
delaney,names_and_descriptors/with_preanalysis/gpt-4.1_2024-12-01-preview/0/60,150,83.8,78.0,88.3,10.3
delaney,names_and_descriptors/with_preanalysis/gpt-5-nano_2024-12-01-preview/0/60,150,51.6,38.4,63.1,24.7
delaney,names_and_descriptors/with_preanalysis/gpt-5-nano_2024-12-01-preview/940/60,150,58.9,45.8,69.4,23.6
delaney,names_and_descriptors/with_preanalysis/gpt-5_2024-12-01-preview_gpt-5-batch/0/60,150,-9.2,-28.7,10.5,39.3
delaney,names_and_descriptors/with_preanalysis/gpt-5_2024-12-01-preview_gpt-5-batch/940/60,150,54.4,38.7,96.0,57.4
delaney,names_and_descriptors/with_preanalysis/google/gemini-2.5-pro/0/60,150,90.1,86.4,93.2,6.9
delaney,names_and_descriptors/with_preanalysis/google/gemini-2.5-pro/940/60,150,95.8,94.3,97.1,2.8
delaney,names_and_descriptors/with_preanalysis/gpt-4.1-nano_2024-12-01-preview/0/60,150,36.1,18.7,51.6,32.9
delaney,names_and_descriptors/with_preanalysis/gpt-4.1-nano_2024-12-01-preview/940/60,150,73.8,64.7,81.0,16.3
delaney,names_and_descriptors/with_preanalysis/google/gemini-2.5-flash-lite/0/60,150,50.1,28.2,74.2,46.0
delaney,names_and_descriptors/with_preanalysis/google/gemini-2.5-flash-lite/940/60,150,29.8,13.6,60.6,47.0
delaney,names_and_descriptors/with_preanalysis/gpt-4.1_2024-12-01-preview_gpt-4.1-batch/940/60,150,84.6,78.0,90.3,12.3
delaney,names_only/with_preanalysis/google/gemini-2.5-flash/0/60,150,65.8,57.8,74.2,16.5
delaney,names_only/with_preanalysis/google/gemini-2.5-flash/940/60,150,61.8,46.0,75.4,29.4
delaney,names_only/with_preanalysis/gpt-4.1-mini_2024-12-01-preview/0/60,150,71.9,64.2,78.4,14.1
delaney,names_only/with_preanalysis/gpt-4.1-mini_2024-12-01-preview/940/60,150,83.9,78.6,88.5,10.0
delaney,names_only/with_preanalysis/gpt-5-mini_2024-12-01-preview/0/60,150,79.6,73.7,84.7,11.0
delaney,names_only/with_preanalysis/gpt-5-mini_2024-12-01-preview/940/60,150,87.2,82.8,90.7,7.9
delaney,names_only/with_preanalysis/gpt-4.1_2024-12-01-preview/0/60,150,82.9,76.9,87.6,10.7
delaney,names_only/with_preanalysis/gpt-5-nano_2024-12-01-preview/0/60,150,50.7,38.4,61.5,23.1
delaney,names_only/with_preanalysis/gpt-5-nano_2024-12-01-preview/940/60,150,71.3,61.4,79.4,18.0
delaney,names_only/with_preanalysis/gpt-5_2024-12-01-preview_gpt-5-batch/0/60,150,71.8,61.3,81.0,19.7
delaney,names_only/with_preanalysis/gpt-5_2024-12-01-preview_gpt-5-batch/940/60,150,92.4,89.0,95.1,6.1
delaney,names_only/with_preanalysis/google/gemini-2.5-pro/0/60,150,91.5,88.9,94.2,5.3
delaney,names_only/with_preanalysis/google/gemini-2.5-pro/940/60,150,96.0,94.5,97.4,2.9
delaney,names_only/with_preanalysis/gpt-4.1-nano_2024-12-01-preview/0/60,150,42.9,28.2,56.1,27.8
delaney,names_only/with_preanalysis/gpt-4.1-nano_2024-12-01-preview/940/60,150,75.6,68.5,81.5,13.0
delaney,names_only/with_preanalysis/google/gemini-2.5-flash-lite/0/60,150,51.3,35.5,67.2,31.7
delaney,names_only/with_preanalysis/google/gemini-2.5-flash-lite/940/60,150,27.1,11.0,42.5,31.5
delaney,names_only/with_preanalysis/gpt-4.1_2024-12-01-preview_gpt-4.1-batch/940/60,150,86.7,80.9,91.3,10.4
delaney,names_only/wp_molproperty_clear/google/gemini-2.5-flash/940/60,150,42.1,20.5,62.3,41.8
delaney,names_only/wp_molproperty_clear/gpt-4.1-mini_2024-12-01-preview/940/60,150,85.7,81.4,89.4,7.9
delaney,names_only/wp_molproperty_clear/gpt-5-mini_2024-12-01-preview/940/60,150,88.6,84.2,92.2,8.0
delaney,names_only/wp_molproperty_clear/gpt-4.1_2024-12-01-preview_gpt-4.1-batch/940/60,150,90.5,84.9,94.7,9.8
delaney,names_only/wp_molproperty_clear/gpt-5-nano_2024-12-01-preview/940/60,150,74.0,64.2,82.1,17.8
delaney,names_only/wp_molproperty_clear/gpt-5_2024-12-01-preview_gpt-5-batch/940/60,150,90.1,84.4,94.6,10.2
delaney,names_only/wp_molproperty_clear/google/gemini-2.5-pro/940/60,150,96.0,94.7,97.3,2.6
