dataset,model,nsig,matches,total,observed_pct,chance_pct
Delaney,gpt-4.1-nano,2,105,5380,1.95,1.78
Delaney,gpt-4.1-nano,3,6,4360,0.14,0.17
Delaney,gpt-4.1-mini,2,157,5380,2.92,1.71
Delaney,gpt-4.1-mini,3,12,4360,0.28,0.22
Delaney,gpt-4.1,2,151,5380,2.81,1.58
Delaney,gpt-4.1,3,17,4360,0.39,0.18
Delaney,gemini-2.5-pro,2,200,5380,3.72,1.34
Delaney,gemini-2.5-pro,3,24,4360,0.55,0.2
Delaney,gemini-2.5-flash,2,203,5380,3.77,1.6
Delaney,gemini-2.5-flash,3,28,4360,0.64,0.21
Delaney,gpt-5,2,151,5380,2.81,1.44
Delaney,gpt-5,3,16,4360,0.37,0.18
Delaney,gpt-5-mini,2,132,5380,2.45,1.31
Delaney,gpt-5-mini,3,8,4360,0.18,0.16
Delaney,gpt-5-nano,2,83,5380,1.54,1.28
Delaney,gpt-5-nano,3,6,4360,0.14,0.07
Delaney,gemini-2.5-flash-lite,2,127,5380,2.36,1.78
Delaney,gemini-2.5-flash-lite,3,13,4360,0.3,0.23
Lipophilicity,gemini-2.5-flash,2,119,4645,2.56,1.84
Lipophilicity,gemini-2.5-flash,3,10,2800,0.36,0.19
Lipophilicity,gpt-5-mini,2,178,4645,3.83,2.65
Lipophilicity,gpt-5-mini,3,10,2800,0.36,0.16
Lipophilicity,gpt-5-nano,2,186,4645,4.0,2.99
Lipophilicity,gpt-5-nano,3,0,2800,0.0,0.0
Lipophilicity,gpt-5,2,178,4645,3.83,3.06
Lipophilicity,gpt-5,3,17,2800,0.61,0.39
Lipophilicity,gpt-4.1-nano,2,121,4645,2.6,2.69
Lipophilicity,gpt-4.1-nano,3,0,2800,0.0,0.0
Lipophilicity,gpt-4.1-mini,2,192,4645,4.13,3.15
Lipophilicity,gpt-4.1-mini,3,7,2800,0.25,0.39
Lipophilicity,gpt-4.1,2,195,4645,4.2,3.22
Lipophilicity,gpt-4.1,3,16,2800,0.57,0.4
Lipophilicity,gemini-2.5-pro,2,161,4645,3.47,2.37
Lipophilicity,gemini-2.5-pro,3,14,2800,0.5,0.24
Lipophilicity,gemini-2.5-flash-lite,2,158,4645,3.4,2.39
Lipophilicity,gemini-2.5-flash-lite,3,8,2800,0.29,0.3
QM7,gemini-2.5-flash,2,41,5000,0.82,0.71
QM7,gemini-2.5-flash,3,6,4995,0.12,0.07
QM7,gpt-5-mini,2,3,5000,0.06,0.08
QM7,gpt-5-mini,3,0,4995,0.0,0.01
QM7,gpt-5-nano,2,1,5000,0.02,0.0
QM7,gpt-5-nano,3,0,4995,0.0,0.0
QM7,gpt-5,2,46,5000,0.92,0.87
QM7,gpt-5,3,2,4995,0.04,0.08
QM7,gpt-4.1-nano,2,0,5000,0.0,0.0
QM7,gpt-4.1-nano,3,0,4995,0.0,0.0
QM7,gpt-4.1-mini,2,0,5000,0.0,0.0
QM7,gpt-4.1-mini,3,0,4995,0.0,0.0
QM7,gpt-4.1,2,0,5000,0.0,0.0
QM7,gpt-4.1,3,0,4995,0.0,0.0
QM7,gemini-2.5-pro,2,800,5000,16.0,12.22
QM7,gemini-2.5-pro,3,61,4995,1.22,1.14
QM7,gemini-2.5-flash-lite,2,37,5000,0.74,1.07
QM7,gemini-2.5-flash-lite,3,3,4995,0.06,0.11
