dataset,model,n,pearson_r,r2_score
Delaney,gemini-2.5-pro,1128,0.891,0.766
Delaney,gemini-2.5-flash,1128,0.876,0.721
Delaney,gemini-2.5-flash-lite,1128,0.68,0.296
Delaney,gpt-4.1,1128,0.855,0.672
Delaney,gpt-4.1-mini,1128,0.777,0.544
Delaney,gpt-4.1-nano,1128,0.407,0.105
Delaney,gpt-5,1128,0.854,0.687
Delaney,gpt-5-mini,1128,-0.017,-2209529474.665
Delaney,gpt-5-nano,1128,0.626,0.382
Lipophilicity,gemini-2.5-pro,1000,0.471,-0.51
Lipophilicity,gemini-2.5-flash,1000,0.426,-1.168
Lipophilicity,gemini-2.5-flash-lite,1000,0.433,-0.146
Lipophilicity,gpt-4.1,1000,0.436,-0.135
Lipophilicity,gpt-4.1-mini,1000,0.356,-0.002
Lipophilicity,gpt-4.1-nano,1000,0.292,-1.201
Lipophilicity,gpt-5,1000,0.385,0.005
Lipophilicity,gpt-5-mini,1000,0.392,-0.051
Lipophilicity,gpt-5-nano,1000,0.251,-0.535
QM7,gemini-2.5-pro,1000,0.549,-0.051
QM7,gemini-2.5-flash,1000,-0.307,-171.124
QM7,gemini-2.5-flash-lite,1000,-0.011,-165.381
QM7,gpt-4.1,1000,0.11,-61.57
QM7,gpt-4.1-mini,1000,-0.045,-77.035
QM7,gpt-4.1-nano,1000,-0.014,-52.131
QM7,gpt-5,1000,0.009,-3775.794
QM7,gpt-5-mini,1000,0.024,-61.777
QM7,gpt-5-nano,1000,0.026,-42.521
Antiviral potency,gemini-2.5-pro,1006,0.414,0.073
Antiviral potency,gemini-2.5-flash,1006,0.169,-0.417
Antiviral potency,gemini-2.5-flash-lite,1006,0.205,-0.134
Antiviral potency,gpt-4.1,1006,0.689,-0.561
Antiviral potency,gpt-4.1-mini,1006,0.704,-1.222
Antiviral potency,gpt-4.1-nano,1006,0.027,-2.433
Antiviral potency,gpt-5,1006,0.455,-0.342
Antiviral potency,gpt-5-mini,1006,0.373,0.074
Antiviral potency,gpt-5-nano,1006,0.319,-1.113
Atomic weights,gemini-2.5-pro,41,1.0,1.0
Atomic weights,gemini-2.5-flash,41,0.999,0.998
Atomic weights,gemini-2.5-flash-lite,41,0.953,0.902
Atomic weights,gpt-4.1,41,0.696,0.185
Atomic weights,gpt-4.1-mini,41,1.0,1.0
Atomic weights,gpt-4.1-nano,41,1.0,1.0
Atomic weights,gpt-5,41,0.674,0.047
Atomic weights,gpt-5-mini,41,1.0,1.0
Atomic weights,gpt-5-nano,41,0.995,0.989
Boiling points,gemini-2.5-pro,45,0.911,0.639
Boiling points,gemini-2.5-flash,45,0.95,0.89
Boiling points,gemini-2.5-flash-lite,45,0.796,0.543
Boiling points,gpt-4.1,45,0.908,0.8
Boiling points,gpt-4.1-mini,45,0.883,0.755
Boiling points,gpt-4.1-nano,45,0.663,0.241
Boiling points,gpt-5,45,0.812,0.431
Boiling points,gpt-5-mini,45,0.902,0.796
Boiling points,gpt-5-nano,45,0.588,0.049
