level,approach,transformed,model,r,n_runs,match2,chance2,match3,chance3,m1,m2_cnt,m2b,m3_cnt,m3_hits,m3_total,R21,R32,n3
1 Specific / original,io_specific_clear,False,gpt-5,100.0,10,100.0,3.2,97.3,2.7,370,370,366,356,360,370,100.0,97.3,37
1 Specific / original,io_specific_clear,False,gemini-2.5-flash,100.0,10,99.7,3.2,97.1,2.7,374,373,373,363,363,374,99.7,97.3,37
1 Specific / original,io_specific_clear,False,gpt-4.1-mini,100.0,10,100.0,3.2,97.3,2.6,370,370,370,360,360,370,100.0,97.3,37
1 Specific / original,io_specific_clear,False,gpt-5-nano,100.0,10,99.7,3.2,97.5,2.8,365,364,355,347,356,365,99.7,97.7,36
1 Specific / original,io_specific_clear,False,gpt-4.1-nano,100.0,10,100.0,3.2,98.9,2.7,366,366,344,340,372,376,100.0,98.8,37
1 Specific / original,io_specific_clear,False,gpt-5-mini,100.0,10,100.0,3.3,97.3,2.7,370,370,370,360,360,370,100.0,97.3,37
1 Specific / original,io_specific_clear,False,gemini-2.5-pro,100.0,10,100.0,3.1,99.0,2.7,379,379,379,375,375,379,100.0,98.9,37
1 Specific / original,io_specific_clear,False,gpt-4.1,100.0,10,100.0,3.1,97.3,2.6,373,373,373,363,363,373,100.0,97.3,37
1 Specific / original,io_specific_clear,False,gemini-2.5-flash-lite,100.0,10,99.7,3.2,96.8,2.7,372,371,371,360,360,372,99.7,97.0,37
2 Specific / transformed,io_specific_blind,True,gpt-5,99.4,10,70.3,3.4,43.9,1.4,332,244,232,142,153,349,73.5,61.2,34
2 Specific / transformed,io_specific_blind,True,gemini-2.5-flash,31.4,10,51.2,2.8,34.2,1.2,231,175,178,118,119,349,75.8,66.3,34
2 Specific / transformed,io_specific_blind,True,gpt-4.1-mini,97.4,10,76.6,3.8,61.6,1.9,328,269,257,206,217,352,82.0,80.2,35
2 Specific / transformed,io_specific_blind,True,gpt-5-nano,91.5,10,0.0,0.7,0.0,0.2,33,0,0,0,0,349,0.0,,34
2 Specific / transformed,io_specific_blind,True,gpt-4.1-nano,20.8,10,6.7,1.5,0.8,0.1,97,18,9,2,3,350,18.6,22.2,35
2 Specific / transformed,io_specific_blind,True,gpt-5-mini,92.2,10,0.0,0.3,0.0,0.0,33,0,0,0,0,351,0.0,,35
2 Specific / transformed,io_specific_blind,True,gemini-2.5-pro,99.8,10,84.0,3.8,73.3,2.1,362,306,306,264,267,364,84.5,86.3,36
2 Specific / transformed,io_specific_blind,True,gpt-4.1,99.3,10,91.5,4.0,87.3,2.5,347,324,320,292,309,354,93.4,91.2,35
2 Specific / transformed,io_specific_blind,True,gemini-2.5-flash-lite,54.5,10,71.9,3.5,60.6,2.0,294,256,252,213,216,356,87.1,84.5,35
3 Generic / original,io_molproperty_clear,False,gpt-5,100.0,10,100.0,3.2,97.3,2.7,371,371,371,361,361,371,100.0,97.3,37
3 Generic / original,io_molproperty_clear,False,gemini-2.5-flash,100.0,10,100.0,3.2,97.3,2.7,374,374,374,364,364,374,100.0,97.3,37
3 Generic / original,io_molproperty_clear,False,gpt-4.1-mini,100.0,10,100.0,3.1,97.6,2.7,370,370,370,361,361,370,100.0,97.6,37
3 Generic / original,io_molproperty_clear,False,gpt-5-nano,94.9,10,99.2,3.1,95.3,2.6,373,372,360,349,361,379,99.7,96.9,37
3 Generic / original,io_molproperty_clear,False,gpt-4.1-nano,99.4,10,99.2,3.1,97.1,2.7,371,370,355,347,368,379,99.7,97.7,37
3 Generic / original,io_molproperty_clear,False,gpt-5-mini,100.0,10,100.0,3.2,97.3,2.7,365,365,364,354,355,365,100.0,97.3,36
3 Generic / original,io_molproperty_clear,False,gemini-2.5-pro,100.0,10,100.0,3.1,97.4,2.6,382,382,382,372,372,382,100.0,97.4,38
3 Generic / original,io_molproperty_clear,False,gpt-4.1,97.9,10,99.7,3.2,97.0,2.7,370,370,370,360,360,371,100.0,97.3,37
3 Generic / original,io_molproperty_clear,False,gemini-2.5-flash-lite,100.0,10,99.7,3.1,97.1,2.6,380,380,380,370,370,381,100.0,97.4,38
4 Generic / transformed,io_molproperty_blind,True,gpt-5,91.0,10,19.4,2.4,1.7,0.2,188,64,57,6,6,343,34.0,10.5,34
4 Generic / transformed,io_molproperty_blind,True,gemini-2.5-flash,57.4,10,23.8,1.8,7.1,0.4,215,84,82,22,25,352,39.1,26.8,35
4 Generic / transformed,io_molproperty_blind,True,gpt-4.1-mini,87.3,10,13.2,2.5,1.7,0.3,176,39,26,5,6,358,22.2,19.2,35
4 Generic / transformed,io_molproperty_blind,True,gpt-5-nano,20.3,10,1.4,1.5,0.0,0.1,46,5,2,0,0,353,10.9,0.0,35
4 Generic / transformed,io_molproperty_blind,True,gpt-4.1-nano,33.2,10,5.5,2.1,0.0,0.2,114,15,7,0,0,351,13.2,0.0,35
4 Generic / transformed,io_molproperty_blind,True,gpt-5-mini,57.6,10,3.1,1.7,0.0,0.2,84,10,0,0,0,347,11.9,,34
4 Generic / transformed,io_molproperty_blind,True,gemini-2.5-pro,85.8,10,19.1,2.0,3.6,0.2,215,67,70,12,13,366,31.2,17.1,36
4 Generic / transformed,io_molproperty_blind,True,gpt-4.1,91.4,10,26.1,2.4,7.7,0.3,226,86,78,19,27,350,38.1,24.4,35
4 Generic / transformed,io_molproperty_blind,True,gemini-2.5-flash-lite,41.2,10,23.9,2.4,5.1,0.6,212,84,83,13,18,356,39.6,15.7,35
