level,approach,transformed,model,r,n_runs,match2,chance2,match3,chance3,m1,m2_cnt,m2b,m3_cnt,m3_hits,m3_total,R21,R32,n3
1 Specific / original,io_specific_clear,False,gpt-5,99.8,10,90.3,3.4,75.2,2.0,425,391,340,297,307,408,92.0,87.4,40
1 Specific / original,io_specific_clear,False,gemini-2.5-flash,98.8,10,82.6,3.5,67.7,2.1,396,337,309,251,263,388,85.1,81.2,38
1 Specific / original,io_specific_clear,False,gpt-4.1-mini,99.8,10,87.6,3.6,48.3,1.5,393,345,212,182,192,397,87.8,85.8,39
1 Specific / original,io_specific_clear,False,gpt-5-nano,75.0,10,42.8,2.5,15.3,0.6,227,149,71,51,59,384,65.6,71.8,38
1 Specific / original,io_specific_clear,False,gpt-4.1-nano,98.0,10,70.0,3.4,34.8,1.1,339,263,151,126,134,386,77.6,83.4,38
1 Specific / original,io_specific_clear,False,gpt-5-mini,99.7,10,91.4,3.5,76.5,2.2,406,379,336,290,300,392,93.3,86.3,39
1 Specific / original,io_specific_clear,False,gemini-2.5-pro,100.0,10,91.2,3.5,80.4,2.4,415,377,341,299,317,394,90.8,87.7,39
1 Specific / original,io_specific_clear,False,gpt-4.1,99.9,10,93.7,3.5,72.8,2.2,410,386,310,275,283,389,94.1,88.7,38
1 Specific / original,io_specific_clear,False,gemini-2.5-flash-lite,99.5,10,86.4,3.6,77.5,2.4,402,356,323,289,301,389,88.6,89.5,38
2 Specific / transformed,io_specific_blind,True,gpt-5,80.9,10,17.2,2.1,4.3,0.4,232,71,47,10,18,416,30.6,21.3,41
2 Specific / transformed,io_specific_blind,True,gemini-2.5-flash,50.1,10,70.1,3.8,38.0,1.2,352,279,275,138,154,406,79.3,50.2,40
2 Specific / transformed,io_specific_blind,True,gpt-4.1-mini,14.5,10,3.5,1.8,0.7,0.3,103,13,9,2,3,401,12.6,22.2,40
2 Specific / transformed,io_specific_blind,True,gpt-5-nano,43.4,10,2.0,3.1,0.0,0.3,88,8,1,0,0,411,9.1,0.0,41
2 Specific / transformed,io_specific_blind,True,gpt-4.1-nano,55.4,10,0.0,1.4,0.0,0.3,32,0,0,0,0,395,0.0,,39
2 Specific / transformed,io_specific_blind,True,gpt-5-mini,83.9,10,0.0,1.3,0.0,0.1,35,0,0,0,0,399,0.0,,39
2 Specific / transformed,io_specific_blind,True,gemini-2.5-pro,99.5,10,72.7,4.0,32.4,1.0,394,292,290,123,131,404,74.1,42.4,40
2 Specific / transformed,io_specific_blind,True,gpt-4.1,79.6,10,32.5,2.7,9.5,0.5,252,127,101,28,37,392,50.4,27.7,39
2 Specific / transformed,io_specific_blind,True,gemini-2.5-flash-lite,33.3,10,16.6,2.6,6.5,0.8,171,66,64,26,26,402,38.6,40.6,40
3 Generic / original,io_molproperty_clear,False,gpt-5,99.9,10,91.7,3.5,80.4,2.2,431,398,370,316,327,407,92.3,85.4,40
3 Generic / original,io_molproperty_clear,False,gemini-2.5-flash,93.1,10,72.6,3.4,60.1,2.0,359,292,262,218,229,380,81.3,83.2,38
3 Generic / original,io_molproperty_clear,False,gpt-4.1-mini,91.4,10,70.9,3.4,42.4,1.4,352,280,203,160,165,387,79.5,78.8,38
3 Generic / original,io_molproperty_clear,False,gpt-5-nano,33.8,10,2.3,2.4,0.5,0.7,91,10,8,2,2,394,11.0,25.0,39
3 Generic / original,io_molproperty_clear,False,gpt-4.1-nano,66.8,10,8.3,2.4,3.1,0.3,114,31,17,10,12,389,27.2,58.8,38
3 Generic / original,io_molproperty_clear,False,gpt-5-mini,77.9,10,54.8,2.8,41.5,1.3,259,220,192,159,160,384,84.9,82.8,38
3 Generic / original,io_molproperty_clear,False,gemini-2.5-pro,100.0,10,92.8,3.6,82.0,2.4,417,386,343,307,323,394,92.6,89.5,39
3 Generic / original,io_molproperty_clear,False,gpt-4.1,99.8,10,92.7,3.5,79.2,2.3,420,392,344,305,315,397,93.3,88.7,39
3 Generic / original,io_molproperty_clear,False,gemini-2.5-flash-lite,98.6,10,81.9,3.6,70.5,2.3,395,346,313,271,281,398,87.6,86.6,39
4 Generic / transformed,io_molproperty_blind,True,gpt-5,60.3,10,9.6,2.2,1.2,0.3,143,38,23,0,5,417,26.6,0.0,41
4 Generic / transformed,io_molproperty_blind,True,gemini-2.5-flash,39.6,10,31.6,2.8,12.4,0.7,221,123,122,47,50,400,55.7,38.5,40
4 Generic / transformed,io_molproperty_blind,True,gpt-4.1-mini,47.6,10,3.5,2.3,0.0,0.4,104,14,9,0,0,403,13.5,0.0,40
4 Generic / transformed,io_molproperty_blind,True,gpt-5-nano,13.8,10,2.0,3.0,0.0,0.7,68,8,5,0,0,404,11.8,0.0,40
4 Generic / transformed,io_molproperty_blind,True,gpt-4.1-nano,14.0,10,0.5,1.9,0.0,0.3,42,2,1,0,0,401,4.8,0.0,40
4 Generic / transformed,io_molproperty_blind,True,gpt-5-mini,17.4,10,0.8,1.6,0.0,0.2,65,3,1,0,0,394,4.6,0.0,39
