symbol,name,atomic_weight
H,hydrogen,1.008
He,helium,4.0026
Li,lithium,6.94
Be,beryllium,9.0122
B,boron,10.81
C,carbon,12.011
N,nitrogen,14.007
O,oxygen,15.999
F,fluorine,18.998
Ne,neon,20.18
Na,sodium,22.99
Mg,magnesium,24.305
Al,aluminium,26.982
Si,silicon,28.085
P,phosphorus,30.974
S,sulfur,32.06
Cl,chlorine,35.45
Ar,argon,39.95
K,potassium,39.098
Ca,calcium,40.078
Ti,titanium,47.867
Cr,chromium,51.996
Mn,manganese,54.938
Fe,iron,55.845
Co,cobalt,58.933
Ni,nickel,58.693
Cu,copper,63.546
Zn,zinc,65.38
Ga,gallium,69.723
As,arsenic,74.922
Se,selenium,78.971
Br,bromine,79.904
Ag,silver,107.868
Sn,tin,118.71
I,iodine,126.904
Ba,barium,137.327
Pt,platinum,195.084
Au,gold,196.967
Hg,mercury,200.592
Pb,lead,207.2
U,uranium,238.029
