symbol,name,atomic_weight,smiles,transformed_solubility,transformed_smiles
H,hydrogen,1.008,[H],100.0,[H]
He,helium,4.0026,[He],98.7365676459048,[He]
Li,lithium,6.94,[Li],97.49726817454994,[Li]
Be,beryllium,9.0122,[Be],96.62299964982006,[Be]
B,boron,10.81,[B],95.86450145767674,[B]
C,carbon,12.011,[C],95.35779530083832,[C]
N,nitrogen,14.007,[N],94.51567582619262,[N]
O,oxygen,15.999,[O],93.67524396572456,[O]
F,fluorine,18.998,[F],92.40995523603395,[F]
Ne,neon,20.18,[Ne],91.91126524653933,[Ne]
Na,sodium,22.99,[Na],90.72571628674253,[Na]
Mg,magnesium,24.305,[Mg],90.17091312584117,[Mg]
Al,aluminium,26.982,[Al],89.04147733745113,[Al]
Si,silicon,28.085,[Si],88.57611772796503,[Si]
P,phosphorus,30.974,[P],87.3572383881597,[P]
S,sulfur,32.06,[S],86.89905113892861,[S]
Cl,chlorine,35.45,[Cl],85.46879812337305,[Cl]
Ar,argon,39.95,[Ar],83.5702321735205,[Ar]
K,potassium,39.098,[K],83.92969399335924,[K]
Ca,calcium,40.078,[Ca],83.51622851983579,[Ca]
Ti,titanium,47.867,[Ti],80.23002181241326,[Ti]
Cr,chromium,51.996,[Cr],78.48798207753744,[Cr]
Mn,manganese,54.938,[Mn],77.24674184987829,[Mn]
Fe,iron,55.845,[Fe],76.8640753350969,[Fe]
Co,cobalt,58.933,[Co],75.56123718995363,[Co]
Ni,nickel,58.693,[Ni],75.66249404061244,[Ni]
Cu,copper,63.546,[Cu],73.61499613958257,[Cu]
Zn,zinc,65.38,[Zn],72.84122503913156,[Zn]
Ga,gallium,69.723,[Ga],71.00889794575164,[Ga]
As,arsenic,74.922,[As],68.81542141835534,[As]
Se,selenium,78.971,[Se],67.10713396703245,[Se]
Br,bromine,79.904,[Br],66.71349796009636,[Br]
Ag,silver,107.868,[Ag],54.915387244168244,[Ag]
Sn,tin,118.71,[Sn],50.34110901565684,[Sn]
I,iodine,126.904,[I],46.884031372747565,[I]
Ba,barium,137.327,[Ba],42.486530729344665,[Ba]
Pt,platinum,195.084,[Pt],18.118647714759447,[Pt]
Au,gold,196.967,[Au],17.324203340632256,[Au]
Hg,mercury,200.592,[Hg],15.794802992139932,[Hg]
Pb,lead,207.2,[Pb],13.00686437066758,[Pb]
U,uranium,238.029,[U],0.0,[U]
