name,smiles,bp_celsius,transformed_solubility,transformed_smiles
water,O,99.98,61.49514563106796,B
methanol,CO,64.7,72.9126213592233,AB
ethanol,CCO,78.23,68.53398058252426,AAB
1-propanol,CCCO,97.2,62.394822006472495,AAAB
2-propanol,CC(O)C,82.6,67.11974110032362,AA{B}A
1-butanol,CCCCO,117.7,55.76051779935275,AAAAB
acetone,CC(=O)C,56.08,75.70226537216828,AA{~B}A
benzene,c1ccccc1,80.1,67.92880258899676,araaaaar
toluene,Cc1ccccc1,110.6,58.05825242718446,Aaraaaaar
acetic acid,CC(=O)O,118.1,55.63106796116505,AA{~B}B
formic acid,C(=O)O,100.8,61.22977346278317,A{~B}B
diethyl ether,CCOCC,34.6,82.6537216828479,AABAA
chloroform,ClC(Cl)Cl,61.15,74.06148867313915,ZA{Z}Z
dichloromethane,ClCCl,39.6,81.03559870550161,ZAZ
carbon tetrachloride,ClC(Cl)(Cl)Cl,76.72,69.02265372168284,ZA{Z}{Z}Z
n-hexane,CCCCCC,68.7,71.61812297734627,AAAAAA
n-pentane,CCCCC,36.1,82.16828478964402,AAAAA
cyclohexane,C1CCCCC1,80.74,67.72168284789645,ArAAAAAr
ethyl acetate,CCOC(=O)C,77.1,68.89967637540452,AABA{~B}A
acetonitrile,CC#N,81.6,67.44336569579288,AA^D
dimethyl sulfoxide,CS(=O)C,189.0,32.68608414239482,AE{~B}A
pyridine,c1ccncc1,115.2,56.56957928802589,araadaar
aniline,Nc1ccccc1,184.13,34.262135922330096,Daraaaaar
phenol,Oc1ccccc1,181.7,35.0485436893204,Baraaaaar
nitrobenzene,O=[N+]([O-])c1ccccc1,210.9,25.59870550161812,B~{DP}{{BM}}araaaaar
tetrahydrofuran,C1CCOC1,66.0,72.49190938511327,ArAABAr
carbon disulfide,S=C=S,46.24,78.88673139158576,E~A~E
formaldehyde,C=O,-19.0,100.0,A~B
acetaldehyde,CC=O,20.2,87.31391585760518,AA~B
diethylamine,CCNCC,55.5,75.88996763754045,AADAA
triethylamine,CCN(CC)CC,89.0,65.04854368932038,AAD{AA}AA
ethylene glycol,OCCO,197.3,29.999999999999993,BAAB
glycerol,OCC(O)CO,290.0,0.0,BAA{B}AB
n-heptane,CCCCCCC,98.38,62.01294498381877,AAAAAAA
n-octane,CCCCCCCC,125.6,53.20388349514563,AAAAAAAA
methyl tert-butyl ether,COC(C)(C)C,55.5,75.88996763754045,ABA{A}{A}A
"1,4-dioxane",C1COCCO1,101.1,61.13268608414239,ArABAABr
propionic acid,CCC(=O)O,141.15,48.17152103559871,AAA{~B}B
butanone,CCC(=O)C,79.64,68.07766990291262,AAA{~B}A
styrene,C=Cc1ccccc1,145.0,46.92556634304207,A~Aaraaaaar
naphthalene,c1ccc2ccccc2c1,218.0,23.300970873786408,araaafaaaaafar
dimethylformamide,CN(C)C=O,153.0,44.336569579288025,AD{A}A~B
hexanol,CCCCCCO,157.0,43.042071197411005,AAAAAAB
benzaldehyde,O=Cc1ccccc1,178.1,36.213592233009706,B~Aaraaaaar
anisole,COc1ccccc1,154.0,44.01294498381877,ABaraaaaar
