set,model,obs2,chance2,n2,obs3,chance3,n3
AtomicWeights,gpt-5,96.6,2.9,205,94.1,2.3,205
AtomicWeights,gemini-2.5-flash,98.0,3.1,205,95.6,2.4,205
AtomicWeights,gpt-5-nano,99.0,3.0,205,96.1,2.4,205
AtomicWeights,gpt-4.1-mini,100.0,3.0,205,97.6,2.4,205
AtomicWeights,gpt-4.1-nano,100.0,3.0,205,97.6,2.4,205
AtomicWeights,gpt-5-mini,99.5,2.9,205,97.1,2.4,205
AtomicWeights,gemini-2.5-pro,100.0,3.1,205,100.0,2.4,205
AtomicWeights,gpt-4.1,95.6,3.0,205,93.2,2.3,205
AtomicWeights,gemini-2.5-flash-lite,94.1,3.1,205,91.7,2.2,205
BoilingPoints,gpt-5,58.2,3.2,225,46.8,1.4,205
BoilingPoints,gemini-2.5-flash,78.7,3.6,225,60.0,1.8,205
BoilingPoints,gpt-5-nano,27.1,3.3,225,6.8,0.8,205
BoilingPoints,gpt-4.1-mini,57.8,3.3,225,44.4,1.5,205
BoilingPoints,gpt-4.1-nano,32.0,4.2,225,15.6,1.0,205
BoilingPoints,gpt-5-mini,61.3,3.2,225,49.8,1.6,205
BoilingPoints,gemini-2.5-pro,80.0,3.4,225,75.1,2.1,205
BoilingPoints,gpt-4.1,64.0,3.5,225,43.9,1.5,205
BoilingPoints,gemini-2.5-flash-lite,46.2,3.7,225,37.1,1.5,205
