sweep,level,transformed,model,m1,m2,R21,ci_lo,ci_hi,floor
Boiling points,"1 Specific, orig.",False,GPT-5,425,391,92.0,89.02862885083006,94.218891912081,12.493827160493828
Boiling points,"1 Specific, orig.",False,Gemini 2.5 Flash,396,337,85.1010101010101,81.25725076520558,88.27028213782401,12.493827160493828
Boiling points,"1 Specific, orig.",False,GPT-4.1 mini,393,345,87.78625954198473,84.1780730742448,90.66287102032592,12.493827160493828
Boiling points,"1 Specific, orig.",False,GPT-5 nano,227,149,65.63876651982379,59.24646869701847,71.51055256777956,12.493827160493828
Boiling points,"1 Specific, orig.",False,GPT-4.1 nano,339,263,77.5811209439528,72.84663537943086,81.69750395488562,12.493827160493828
Boiling points,"1 Specific, orig.",False,GPT-5 mini,406,379,93.34975369458128,90.49718033193808,95.38965985217209,12.493827160493828
Boiling points,"1 Specific, orig.",False,Gemini 2.5 Pro,415,377,90.8433734939759,87.68133279341738,93.25618630688211,12.493827160493828
Boiling points,"1 Specific, orig.",False,GPT-4.1,410,386,94.14634146341463,91.43791486003285,96.03516662815007,12.493827160493828
Boiling points,"1 Specific, orig.",False,Gemini 2.5 Flash-Lite,402,356,88.55721393034825,85.0737067715406,91.31077426736718,12.493827160493828
Boiling points,"2 Specific, transf.",True,GPT-5,232,71,30.603448275862068,25.029255829447923,36.80953766584723,12.293388429752065
Boiling points,"2 Specific, transf.",True,Gemini 2.5 Flash,352,279,79.26136363636364,74.72105128970989,83.16987545972019,12.293388429752065
Boiling points,"2 Specific, transf.",True,GPT-4.1 mini,103,13,12.62135922330097,7.526406471583083,20.404287190810596,12.293388429752065
Boiling points,"2 Specific, transf.",True,GPT-5 nano,88,8,9.090909090909092,4.678586169975407,16.925567067773066,12.293388429752065
Boiling points,"2 Specific, transf.",True,GPT-4.1 nano,32,0,0.0,0.0,10.71827150573635,12.293388429752065
Boiling points,"2 Specific, transf.",True,GPT-5 mini,35,0,0.0,0.0,9.890426758938869,12.293388429752065
Boiling points,"2 Specific, transf.",True,Gemini 2.5 Pro,394,292,74.11167512690355,69.56832001933502,78.18938053284454,12.293388429752065
Boiling points,"2 Specific, transf.",True,GPT-4.1,252,127,50.3968253968254,44.26416111364818,56.5175725840773,12.293388429752065
Boiling points,"2 Specific, transf.",True,Gemini 2.5 Flash-Lite,171,66,38.59649122807018,31.626571866629384,46.06752381769288,12.293388429752065
Boiling points,"3 Generic, orig.",False,GPT-5,431,398,92.34338747099768,89.44220307947054,94.4964081297606,12.493827160493828
Boiling points,"3 Generic, orig.",False,Gemini 2.5 Flash,359,292,81.33704735376044,76.98259760767444,85.02793260716311,12.493827160493828
Boiling points,"3 Generic, orig.",False,GPT-4.1 mini,352,280,79.54545454545455,75.02324514850281,83.429729433446,12.493827160493828
Boiling points,"3 Generic, orig.",False,GPT-5 nano,91,10,10.989010989010989,6.079407536219415,19.058928383883156,12.493827160493828
Boiling points,"3 Generic, orig.",False,GPT-4.1 nano,114,31,27.19298245614035,19.868338856494294,36.004629602861314,12.493827160493828
Boiling points,"3 Generic, orig.",False,GPT-5 mini,259,220,84.94208494208495,80.07765329866876,88.78511423888997,12.493827160493828
Boiling points,"3 Generic, orig.",False,Gemini 2.5 Pro,417,386,92.56594724220624,89.64113644664447,94.7136421683974,12.493827160493828
Boiling points,"3 Generic, orig.",False,GPT-4.1,420,392,93.33333333333333,90.5335102451522,95.34763025639367,12.493827160493828
Boiling points,"3 Generic, orig.",False,Gemini 2.5 Flash-Lite,395,346,87.59493670886076,83.97747072940356,90.48818180032252,12.493827160493828
Boiling points,"4 Generic, transf.",True,GPT-5,143,38,26.573426573426573,20.015397229583066,34.357205629552226,12.293388429752065
Boiling points,"4 Generic, transf.",True,Gemini 2.5 Flash,221,123,55.65610859728507,49.06506776186607,62.05387108219125,12.293388429752065
Boiling points,"4 Generic, transf.",True,GPT-4.1 mini,104,14,13.461538461538462,8.19104217664995,21.335225979608857,12.293388429752065
Boiling points,"4 Generic, transf.",True,GPT-5 nano,68,8,11.764705882352942,6.083419938921196,21.535118623694334,12.293388429752065
Boiling points,"4 Generic, transf.",True,GPT-4.1 nano,42,2,4.761904761904762,1.3157248639206365,15.79013531547973,12.293388429752065
